Increased_Cost Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary,
My Estimate,US East (N. Virginia),,Application Load Balancer,0,308.43,3701.16,USD,Number of Application Load Balancers (1),
My Estimate,US East (N. Virginia),,Network Load Balancer,0,290.18,3482.16,USD,"Number of Network Load Balancers (1), Average number of new TCP connections (50000 per second), Average TCP connection duration (90 seconds)",
My Estimate,US East (N. Virginia),,S3 Standard,0,47.1,565.20,USD,S3 Standard storage (2 TB per month),
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,3350.7,40208.40,USD,Number of NAT Gateways (2),
My Estimate,US East (N. Virginia),,Amazon EC2,0,8328.64,99943.68,USD,"Operating system (Linux), Quantity (4), Pricing strategy (On-Demand Instances), Storage amount (1 TB), Instance type (m5d.12xlarge)",
My Estimate,US East (N. Virginia),RDS,Amazon RDS for MariaDB,0,7162.42,85949.04,USD,"Storage volume (Provisioned IOPS SSD (io1)), Provisioning IOPS (5000), Storage amount (2 TB per month), Quantity (2), Instance type (db.m4.4xlarge), Deployment selection (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (500 GB)",
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Acknowledgement,,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,,
Narrative: I increased the Instances on both the RDS and EC2’s. I included an Provisioned IOPS of 5000 on the RDS so the db will be lightning fast. I didn’t increase anything else because those wouldn’t be needed. I believe just increasing the RDS and the EC2 was what needed to be done to make the site faster.,,,,,,,,,
