My Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon EC2,0,2239.006,26868.07,USD,"Operating system (Linux), Storage amount (2 TB), DT Inbound: Internet (1 TB per month), DT Outbound: Amazon CloudFront (1 TB per month), DT Intra-Region: (1 TB per month), Workload (Consistent, Number of instances: 4), Advance EC2 instance (t3.2xlarge), Pricing strategy (On-Demand), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB)"
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,2036.7,24440.40,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),ELB,Application Load Balancer,0,308.43,3701.16,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),ELB,Network Load Balancer,0,290.18,3482.16,USD,"Number of Network Load Balancers (1), Average TCP connection duration (90 seconds), Average number of new TCP connections (50000 per second)"
My Estimate,US East (N. Virginia),S3,S3 Standard,0,50.95,611.40,USD,S3 Standard storage (2 TB per month)
My Estimate,US East (N. Virginia),S3,Data Transfer,0,0,0.00,USD,"DT Inbound: Internet (.5 TB per month), DT Outbound: Amazon CloudFront (1 TB per month)"
My Estimate,US East (N. Virginia),,Amazon RDS for MariaDB,0,3150.38,37804.56,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (2 TB per month), Quantity (2), Instance type (db.m3.2xlarge), Deployment selection (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (500 GB)"
,,,,,,,,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
